Data Date (UTC), LATITUDE, LONGITUDE, FMTID, YEAR, MONTH, DAY, HOUR, MIN, SST, VBAT, GPSDELAY, SNR, TTFF, SBDTIME, Report Body
2020-10-09 17:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 17, 0, 6.65, 15.4, 0, 44, 36, 6, 002944C40FFE91BFFFF406FF000AB37645C0D92B
2020-10-09 16:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 16, 0, 5.96, 15.4, 0, 44, 24, 9, 002944C00FFE891FFFF409FF000AB37645C0D8CB
2020-10-09 15:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 15, 0, 5.26, 15.4, 0, 44, 24, 9, 002944BC0FFE805FFFF409FF000AB37645C0D8CB
2020-10-09 14:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 14, 0, 4.81, 15.4, 0, 44, 24, 8, 002944B80FFE7ABFFFF408FF000AB37645C0D8CB
2020-10-09 13:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 13, 0, 4.57, 15.4, 0, 44, 24, 8, 002944B40FFE77BFFFF408FF000AB37645C0D8CB
2020-10-09 12:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 12, 0, 4.82, 15.4, 0, 44, 24, 6, 002944B00FFE7ADFFFF406FF000AB37645C0D8CB
2020-10-09 11:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 11, 0, 4.76, 15.4, 0, 44, 36, 8, 002944AC0FFE7A1FFFF408FF000AB37645C0D92B
2020-10-09 10:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 10, 0, 4.95, 15.4, 0, 44, 24, 9, 002944A80FFE7C7FFFF409FF000AB37645C0D8CB
2020-10-09 09:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 9, 0, 5.15, 15.4, 0, 44, 24, 10, 002944A40FFE7EFFFFF40AFF000AB37645C0D8CB
2020-10-09 08:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 8, 0, 5.35, 15.4, 0, 44, 36, 11, 002944A00FFE817FFFF40BFF000AB37645C0D92B
2020-10-09 07:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 7, 0, 5.57, 15.4, 0, 44, 24, 9, 0029449C0FFE843FFFF409FF000AB37645C0D8CB
2020-10-09 06:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 6, 0, 5.83, 15.4, 0, 44, 24, 7, 002944980FFE877FFFF407FF000AB37645C0D8CB
2020-10-09 05:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 5, 0, 6.13, 15.6, 0, 44, 24, 12, 002944940FFE8B3FFFF50CFF000AB37645C0D8CB
2020-10-09 04:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 4, 0, 6.49, 15.6, 0, 44, 24, 9, 002944900FFE8FBFFFF509FF000AB37645C0D8CB
2020-10-09 03:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 3, 0, 6.88, 15.6, 0, 44, 24, 8, 0029448C0FFE949FFFF508FF000AB37645C0D8CB
2020-10-09 02:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 2, 0, 7.27, 15.6, 0, 44, 28, 9, 002944880FFE997FFFF509FF000AB37645C0D8EB
2020-10-09 01:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 1, 0, 7.72, 15.6, 0, 44, 24, 9, 002944840FFE9F1FFFF509FF000AB37645C0D8CB
2020-10-09 00:00:00, 50.260400, -65.716200, 0, 2020, 10, 9, 0, 0, 8.20, 15.6, 0, 44, 24, 9, 002944800FFEA51FFFF509FF000AB37645C0D8CB
2020-10-08 23:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 23, 0, 8.66, 15.6, 0, 48, 28, 10, 0029445C0FFEAADFFFF50AFF000AB37645C0D8EC
2020-10-08 22:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 22, 0, 9.03, 15.6, 0, 48, 24, 11, 002944580FFEAF7FFFF50BFF000AB37645C0D8CC
2020-10-08 21:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 21, 0, 9.19, 15.6, 0, 48, 22, 16, 002944540FFEB17FFFF510FF000AB37645C0D8BC
2020-10-08 20:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 20, 0, 9.03, 15.6, 0, 48, 22, 6, 002944500FFEAF7FFFF506FF000AB37645C0D8BC
2020-10-08 19:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 19, 0, 9.01, 15.6, 0, 44, 22, 7, 0029444C0FFEAF3FFFF507FF000AB37645C0D8BB
2020-10-08 18:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 18, 0, 9.00, 15.6, 0, 44, 24, 11, 002944480FFEAF1FFFF50BFF000AB37645C0D8CB
2020-10-08 17:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 17, 0, 9.03, 15.6, 0, 44, 24, 8, 002944440FFEAF7FFFF508FF000AB37645C0D8CB
2020-10-08 16:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 16, 0, 9.16, 15.6, 0, 44, 24, 9, 002944400FFEB11FFFF509FF000AB37645C0D8CB
2020-10-08 15:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 15, 0, 9.32, 15.6, 0, 44, 24, 10, 0029443C0FFEB31FFFF50AFF000AB37645C0D8CB
2020-10-08 14:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 14, 0, 9.39, 15.6, 0, 44, 24, 6, 002944380FFEB3FFFFF506FF000AB37645C0D8CB
2020-10-08 13:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 13, 0, 9.36, 15.6, 0, 44, 24, 7, 002944340FFEB39FFFF507FF000AB37645C0D8CB
2020-10-08 12:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 12, 0, 9.34, 15.6, 0, 44, 28, 9, 002944300FFEB35FFFF509FF000AB37645C0D8EB
2020-10-08 11:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 11, 0, 9.32, 15.6, 0, 44, 24, 7, 0029442C0FFEB31FFFF507FF000AB37645C0D8CB
2020-10-08 10:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 10, 0, 9.28, 15.6, 0, 44, 30, 11, 002944280FFEB29FFFF50BFF000AB37645C0D8FB
2020-10-08 09:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 9, 0, 9.22, 15.6, 0, 44, 28, 11, 002944240FFEB1DFFFF50BFF000AB37645C0D8EB
2020-10-08 08:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 8, 0, 9.15, 15.6, 0, 44, 36, 8, 002944200FFEB0FFFFF508FF000AB37645C0D92B
2020-10-08 07:00:00, 50.260400, -65.716200, 0, 2020, 10, 8, 7, 0, 9.09, 15.6, 0, 44, 24, 8, 0029441C0FFEB03FFFF508FF000AB37645C0D8CB
